iso_639_1,name
en,English
bn,বাংলা
hi,हिन्दी
es,Español
it,Italiano
fr,Français
de,Deutsch
id,Bahasa indonesia
zh,普通话
pt,Português
cn,广州话 / 廣州話
ja,日本語
ru,Pусский
ro,Română
te,తెలుగు
pl,Polski
nl,Nederlands
no,Norsk
is,Íslenska
pa,ਪੰਜਾਬੀ
sr,Srpski
ko,한국어/조선말
cs,Český
jv,
mr,
sv,svenska
rm,
ar,العربية
tl,
da,Dansk
cy,Cymraeg
ta,தமிழ்
xx,No Language
yi,
kn,?????
lv,Latviešu
tr,Türkçe
fi,suomi
th,ภาษาไทย
ml,
el,ελληνικά
am,
ca,Català
fa,فارسی
ms,Bahasa melayu
sq,shqip
sd,
sl,Slovenščina
ln,
mo,
bg,български език
hy,
sw,Kiswahili
hu,Magyar
uk,Український
sk,Slovenčina
he,עִבְרִית
af,Afrikaans
kk,қазақ
ur,اردو
ce,
to,
ne,
bo,
vi,Tiếng Việt
ka,ქართული
rw,Kinyarwanda
gu,
mk,
mn,
cr,
zu,isiZulu
ig,
iu,
hr,Hrvatski
ug,
ga,Gaeilge
sn,
lt,Lietuvių
mg,
bs,Bosanski
bm,Bamanankan
et,Eesti
ku,
qu,
as,
az,Azərbaycan
yo,Èdè Yorùbá
sg,
aa,
be,беларуская мова
eu,euskera
gd,
uz,ozbek
gn,
xh,
ha,Hausa
