movie_id,genre_id
299534,12
299534,878
299534,28
19995,28
19995,12
19995,14
19995,878
140607,28
140607,12
140607,878
140607,14
299536,12
299536,28
299536,878
597,18
597,10749
135397,28
135397,12
135397,878
135397,53
420818,12
420818,10751
24428,878
24428,28
24428,12
168259,28
168259,53
99861,28
99861,12
99861,878
284054,28
284054,12
284054,14
284054,878
12445,14
12445,12
181808,878
181808,28
181808,12
330457,16
330457,10751
330457,12
351286,28
351286,12
351286,878
109445,16
109445,12
109445,10751
321612,10751
321612,14
321612,10749
260513,28
260513,12
260513,16
260513,10751
337339,28
337339,80
337339,53
68721,28
68721,12
68721,878
271110,12
271110,28
271110,878
297802,28
297802,12
297802,14
429617,28
429617,12
429617,878
299537,28
299537,12
299537,878
38356,28
38356,878
38356,12
122,12
122,14
122,28
37724,28
37724,12
37724,53
91314,878
91314,28
91314,12
49026,28
49026,80
49026,18
49026,53
475557,80
475557,53
475557,18
301528,12
301528,16
301528,35
301528,10751
301528,14
10193,16
10193,10751
10193,35
58,12
58,14
58,28
330459,28
330459,12
330459,878
420817,12
420817,14
420817,10749
420817,35
420817,10751
1865,12
1865,28
1865,14
127380,12
127380,16
127380,35
127380,10751
12155,10751
12155,14
12155,12
269149,16
269149,12
269149,10751
269149,35
49051,12
49051,14
49051,28
155,18
155,28
155,80
155,53
8587,10751
8587,16
8587,18
671,12
671,14
671,10751
93456,16
93456,35
93456,10751
278927,12
278927,18
278927,10751
278927,14
353486,28
353486,12
353486,35
353486,14
285,12
285,14
285,28
57158,12
57158,14
57158,28
122917,28
122917,12
122917,14
12444,12
12444,14
12,16
12,10751
675,12
675,14
675,9648
767,12
767,14
809,12
809,16
809,35
809,10751
809,14
121,12
121,14
121,28
329,12
329,878
674,12
674,14
674,10751
424694,18
424694,10402
559,14
559,28
559,12
206647,28
206647,12
206647,53
315635,28
315635,12
315635,878
315635,18
672,12
672,14
328111,12
328111,35
328111,16
328111,10751
209112,28
209112,12
209112,14
120,12
120,14
120,28
452557,10752
452557,28
452557,18
283995,28
283995,12
283995,35
283995,878
150540,18
150540,35
150540,16
150540,10751
335983,878
335983,28
284053,28
284053,12
284053,35
284053,14
101299,12
101299,28
101299,878
8373,878
8373,28
8373,12
50620,12
50620,14
50620,18
50620,10749
27205,28
27205,878
27205,12
297762,28
297762,12
297762,14
557,14
557,28
602,28
602,12
602,878
259316,12
259316,10751
259316,14
354912,16
354912,10751
354912,35
354912,12
354912,14
810,14
810,12
810,16
810,35
810,10751
166426,12
166426,28
166426,14
166426,35
601,878
601,12
601,10751
601,14
353081,28
353081,12
673,12
673,14
217,12
217,28
558,28
558,12
558,14
293660,28
293660,12
293660,35
118340,28
118340,878
118340,12
14161,28
14161,12
14161,878
591,53
591,9648
384018,28
384018,12
384018,35
102651,14
102651,12
102651,28
102651,10751
102651,10749
1930,28
1930,12
1930,14
131631,878
131631,12
131631,53
127585,28
127585,12
127585,14
127585,878
80321,16
80321,10751
80321,35
297761,28
297761,12
297761,80
297761,14
297761,878
411,12
411,10751
411,14
62211,16
62211,10751
383498,28
383498,35
383498,12
